code,region,year,net,educated
E09000002,Barking and Dagenham,2021,-4611,37
E09000002,Barking and Dagenham,2020,-3285,44.9
E09000002,Barking and Dagenham,2019,-3846,33.1
E09000002,Barking and Dagenham,2018,-4433,33
E09000002,Barking and Dagenham,2017,-3274,30.7
E09000003,Barnet,2021,-6516,56.1
E09000003,Barnet,2020,-3285,61.7
E09000003,Barnet,2019,-2575,53.2
E09000003,Barnet,2018,-2895,51.5
E09000003,Barnet,2017,-4789,53.8
E09000004,Bexley,2021,-1521,42.3
E09000004,Bexley,2020,-2681,37.6
E09000004,Bexley,2019,-288,35.5
E09000004,Bexley,2018,-773,42
E09000004,Bexley,2017,-1021,37.1
E09000005,Brent,2021,-11257,51
E09000005,Brent,2020,-433,50.3
E09000005,Brent,2019,-8372,47.7
E09000005,Brent,2018,-7741,40.3
E09000005,Brent,2017,-7688,39.6
E09000006,Bromley,2021,-2550,57.9
E09000006,Bromley,2020,-8688,52.5
E09000006,Bromley,2019,-810,54.1
E09000006,Bromley,2018,-713,49.6
E09000006,Bromley,2017,-377,46.9
E09000007,Camden,2021,-5736,66.8
E09000007,Camden,2020,-758,65.3
E09000007,Camden,2019,-2587,60.9
E09000007,Camden,2018,-2862,64.3
E09000007,Camden,2017,-3612,59.9
E09000008,Croydon,2021,-5983,49.7
E09000008,Croydon,2020,-3804,48.5
E09000008,Croydon,2019,-2349,42.9
E09000008,Croydon,2018,-4259,47.6
E09000008,Croydon,2017,-4017,47.2
E09000009,Ealing,2021,-10310,65.7
E09000009,Ealing,2020,-1987,60.9
E09000009,Ealing,2019,-6060,58.7
E09000009,Ealing,2018,-7921,53.6
E09000009,Ealing,2017,-8606,49.4
E09000010,Enfield,2021,-6692,49.2
E09000010,Enfield,2020,-5731,45.6
E09000010,Enfield,2019,-5500,40
E09000010,Enfield,2018,-5037,40.8
E09000010,Enfield,2017,-5877,36.1
E09000011,Greenwich,2021,-3571,58.2
E09000011,Greenwich,2020,-4659,62.1
E09000011,Greenwich,2019,-3129,49.7
E09000011,Greenwich,2018,-2584,51.5
E09000011,Greenwich,2017,-1532,53.5
E09000012,Hackney,2021,-5123,71.1
E09000012,Hackney,2020,-3218,60.6
E09000012,Hackney,2019,-3127,57.4
E09000012,Hackney,2018,-2124,53.4
E09000012,Hackney,2017,-2713,59.3
E09000013,Hammersmith and Fulham,2021,-4765,74.4
E09000013,Hammersmith and Fulham,2020,-3734,65.3
E09000013,Hammersmith and Fulham,2019,-2138,70
E09000013,Hammersmith and Fulham,2018,-1696,63.1
E09000013,Hammersmith and Fulham,2017,-2243,65.6
E09000014,Haringey,2021,-8365,56.2
E09000014,Haringey,2020,-3199,65.2
E09000014,Haringey,2019,-5947,59
E09000014,Haringey,2018,-6627,53.7
E09000014,Haringey,2017,-7635,54
E09000015,Harrow,2021,-4974,57.7
E09000015,Harrow,2020,-6603,59.5
E09000015,Harrow,2019,-3724,50.1
E09000015,Harrow,2018,-4160,46.3
E09000015,Harrow,2017,-5388,48.8
E09000016,Havering,2021,-956,37.1
E09000016,Havering,2020,-2595,40.8
E09000016,Havering,2019,37,33.7
E09000016,Havering,2018,-52,30
E09000016,Havering,2017,1070,30
E09000017,Hillingdon,2021,-6345,49.7
E09000017,Hillingdon,2020,14,54.9
E09000017,Hillingdon,2019,-2300,51.9
E09000017,Hillingdon,2018,-2816,43.2
E09000017,Hillingdon,2017,-2570,43.2
E09000018,Hounslow,2021,-7912,56.8
E09000018,Hounslow,2020,-2815,52.2
E09000018,Hounslow,2019,-4682,55.2
E09000018,Hounslow,2018,-5061,54.5
E09000018,Hounslow,2017,-5761,44.7
E09000019,Islington,2021,-5536,67.5
E09000019,Islington,2020,-5288,61
E09000019,Islington,2019,-1857,61.7
E09000019,Islington,2018,-2606,67.1
E09000019,Islington,2017,-1852,61.7
E09000020,Kensington and Chelsea,2021,-2089,63.8
E09000020,Kensington and Chelsea,2020,-2229,67.2
E09000020,Kensington and Chelsea,2019,-1723,65.5
E09000020,Kensington and Chelsea,2018,-2202,62
E09000020,Kensington and Chelsea,2017,-3336,64.2
E09000021,Kingston upon Thames,2021,-3290,65.2
E09000021,Kingston upon Thames,2020,-2370,61.2
E09000021,Kingston upon Thames,2019,-1016,59.3
E09000021,Kingston upon Thames,2018,-1885,60.1
E09000021,Kingston upon Thames,2017,-1595,56.4
E09000022,Lambeth,2021,-10736,75.7
E09000022,Lambeth,2020,-1423,69.1
E09000022,Lambeth,2019,-2923,63.8
E09000022,Lambeth,2018,-2233,61.7
E09000022,Lambeth,2017,-2679,67.2
E09000023,Lewisham,2021,-8672,66
E09000023,Lewisham,2020,-5993,70.4
E09000023,Lewisham,2019,-2339,60.2
E09000023,Lewisham,2018,-3113,58.7
E09000023,Lewisham,2017,-2909,54
E09000024,Merton,2021,-4779,67.1
E09000024,Merton,2020,-5314,59.8
E09000024,Merton,2019,-2383,60
E09000024,Merton,2018,-3081,53.2
E09000024,Merton,2017,-3804,56.8
E09000025,Newham,2021,-11078,57.6
E09000025,Newham,2020,-2443,59.7
E09000025,Newham,2019,-10626,44
E09000025,Newham,2018,-9338,48.8
E09000025,Newham,2017,-10895,41.5
E09000026,Redbridge,2021,-7674,51.8
E09000026,Redbridge,2020,-8962,53
E09000026,Redbridge,2019,-5530,45.6
E09000026,Redbridge,2018,-5944,46.2
E09000026,Redbridge,2017,-7066,47.4
E09000027,Richmond upon Thames,2021,-4262,70
E09000027,Richmond upon Thames,2020,-4732,66.2
E09000027,Richmond upon Thames,2019,-429,65.4
E09000027,Richmond upon Thames,2018,-1264,67.9
E09000027,Richmond upon Thames,2017,-1069,64.9
E09000028,Southwark,2021,-10067,57.1
E09000028,Southwark,2020,-1321,65.7
E09000028,Southwark,2019,-2753,62
E09000028,Southwark,2018,-2997,64.6
E09000028,Southwark,2017,-3360,63
E09000029,Sutton,2021,-1737,53.4
E09000029,Sutton,2020,-4182,55.2
E09000029,Sutton,2019,433,45.9
E09000029,Sutton,2018,-120,48.4
E09000029,Sutton,2017,-261,51.4
E09000030,Tower Hamlets,2021,-1618,52
E09000030,Tower Hamlets,2020,293,59
E09000030,Tower Hamlets,2019,-2090,60.5
E09000030,Tower Hamlets,2018,-2379,54.7
E09000030,Tower Hamlets,2017,-2537,47.3
E09000031,Waltham Forest,2021,-5070,60.3
E09000031,Waltham Forest,2020,-3162,57.3
E09000031,Waltham Forest,2019,-4766,50.2
E09000031,Waltham Forest,2018,-5358,48.7
E09000031,Waltham Forest,2017,-5939,43.9
E09000032,Wandsworth,2021,-8095,70.3
E09000032,Wandsworth,2020,-4752,72.8
E09000032,Wandsworth,2019,706,71.6
E09000032,Wandsworth,2018,-1572,70.7
E09000032,Wandsworth,2017,-345,71.3
E09000033,Westminster,2021,-4385,68.9
E09000033,Westminster,2020,-2712,65.4
E09000033,Westminster,2019,-4832,65.5
E09000033,Westminster,2018,-4390,66.7
E09000033,Westminster,2017,-6035,62.3